Nombre;D.O.;Dirección
Ronsel do Sil S.L.;Ribeira Sacra;https://www.google.com/maps/place/Ronsel+do+Sil/@42.3836543,-7.5216327,17z/data=!3m1!4b1!4m5!3m4!1s0xd300c00b33ff187:0x329f2c1e2e82466a!8m2!3d42.3836504!4d-7.519444
Bodega Fazenda Prádio;Ribeira Sacra;https://www.google.com/maps/place/Bodega+Fazenda+Pr%C3%A1dio/@42.4317909,-7.7635137,17z/data=!3m1!4b1!4m5!3m4!1s0xd3002c71a02c5a9:0xabc10ece8fd29621!8m2!3d42.431787!4d-7.761325
Adega ABA SOLLEIRA;Ribeira Sacra;https://www.google.com/maps/place/Adega+ABA+SOLLEIRA/@42.4312829,-7.8079065,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ffd47e90ca971:0x761ba946a55117c1!8m2!3d42.431279!4d-7.8057178
Bodega Adega Vella;Ribeira Sacra;https://www.google.com/maps/place/Bodega+Adega+Vella/@42.3951631,-7.442452,17z/data=!3m1!4b1!4m5!3m4!1s0xd300cacfc9bd9cd:0x2d0d14895cac68bc!8m2!3d42.3951592!4d-7.4402633
Dominio do Bibei;Ribeira Sacra;https://www.google.com/maps/place/Dominio+do+Bibei/@42.310426,-7.209455,15z/data=!4m5!3m4!1s0x0:0x3c4b1d3930e73365!8m2!3d42.310426!4d-7.209455
Prádio;Ribeira Sacra;https://www.google.es/maps/place/Bodega+Fazenda+Pr%C3%A1dio/@42.4317909,-7.7635137,17z/data=!3m1!4b1!4m5!3m4!1s0xd3002c71a02c5a9:0xabc10ece8fd29621!8m2!3d42.431787!4d-7.761325
Adegas Francisco Fernández Sousa;Ribeiro;https://www.google.es/maps/place/Bodegas+Francisco+Fernandez+Sousa/@42.3154999,-8.0657029,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff50f24311b17:0x993f93b268465ccf!8m2!3d42.315496!4d-8.0635142
Adega O Cotarelo;Ribeiro;https://www.google.es/maps/place/Adega+O+Cotarelo/@42.3297862,-8.0575383,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff505aa1be941:0xc81a6f9a9cacac12!8m2!3d42.3297862!4d-8.0553496
Adegas Pazo do Mar;Ribeiro;https://www.google.es/maps/place/Pazo+do+Mar/@42.3393639,-8.0013173,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff72676aaaab1:0xbc9f74f3a2fd868d!8m2!3d42.3393639!4d-7.9991286
Bodega Alanís;Ribeiro;https://www.google.es/maps/place/Bodega+Alan%C3%ADs/@42.3491959,-8.0031719,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff72ac4bbb033:0x4e5b7fc67084ccb2!8m2!3d42.3491959!4d-8.0009832
Bodegas Antonio Montero;Ribeiro;https://www.google.es/maps/place/Bodegas+Antonio+Montero/@42.289536,-8.1143897,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff53df44c0589:0xfa22ceee9b2a2c3e!8m2!3d42.289536!4d-8.112201
Bodegas Celme;Ribeiro;https://www.google.es/maps/place/Adegas+Celme/@42.3227149,-8.0405777,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff69bd3385593:0xb859550e8246a2b2!8m2!3d42.322711!4d-8.038389
Bodegas Cunqueiro;Ribeiro;https://www.google.es/maps/place/Bodegas+Cunqueiro/@42.3111809,-8.0672171,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff434283976c1:0x8cf34092a32d0d83!8m2!3d42.3111809!4d-8.0650284
Bodegas Cuñas Davia - Adegas Valdavia;Ribeiro;https://www.google.es/maps/place/Cu%C3%B1as+Davia+-+Adegas+Valdavia/@42.3554,-8.1168487,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff343b3fc17bd:0x9703528e9397a6e8!8m2!3d42.3554!4d-8.11466
Bodegas Docampo;Ribeiro;https://www.google.es/maps/place/Bodegas+Docampo,+S.A./@42.3029905,-8.1227924,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff4df29d328b9:0xd27c6da860e3fa1c!8m2!3d42.3029905!4d-8.1206037
Bodegas El Paraguas;Ribeiro;https://www.google.es/maps/place/Bodegas+El+Paraguas/@42.3417108,-8.0962243,17z/data=!3m1!4b1!4m5!3m4!1s0xd2dd9ab698d30d3:0x9572f7a3e5e0bde0!8m2!3d42.3417108!4d-8.0940356
Bodegas GRM;Ribeiro;https://www.google.es/maps/place/Bodegas+GRM/@42.3226,-8.0172086,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff6e1e80026cd:0x148b587a94ed4369!8m2!3d42.3226!4d-8.0150199
Bodegas Loeda;Ribeiro;https://www.google.es/maps/place/Adegas+Loeda/@42.3016401,-8.1259635,17z/data=!3m1!4b1!4m5!3m4!1s0xd2f8ad200186a4f:0xa131731d492148d!8m2!3d42.3016401!4d-8.1237748
Bodegas O'Ventosela;Ribeiro;https://www.google.es/maps/place/Bodegas+O%60Ventosela/@42.3625828,-8.1224076,16z/data=!4m8!1m2!2m1!1sbodegas+o'ventosela!3m4!1s0xd2ff346e45041ef:0x66e3f8303b8dc31a!8m2!3d42.3584495!4d-8.1192425
Bodegas Villanueva;Ribeiro;https://www.google.es/maps/place/Bodegas+Villanueva+Senra/@42.295558,-8.0983547,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff5058d18aa45:0xe35a6acc9123003b!8m2!3d42.295558!4d-8.096166
Casal de Armán;Ribeiro;https://www.google.es/maps/place/Casal+de+Arman/@42.3160084,-8.1353417,14z/data=!4m8!1m2!2m1!1scasal+de+arm%C3%A1n!3m4!1s0xd2ff4d1925420f1:0x3b1cc2798d11fc3!8m2!3d42.3105435!4d-8.1272094
Castro Rei;Ribeiro;https://www.google.es/maps/place/Adega+Castro+Rei/@42.301932,-8.1263737,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff52818f1c38f:0xecad44b76d455cff!8m2!3d42.301932!4d-8.124185
César Manuel García Álvarez;Ribeiro;https://www.google.es/maps/place/Adega+C%C3%A9sar+Garc%C3%ADa/@42.3059506,-8.1129836,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff4e08b0f343f:0x82ea7a22f6b1d586!8m2!3d42.3059506!4d-8.1107949
Coto de Gomariz;Ribeiro;https://www.google.es/maps/place/Coto+De+Gomariz/@42.381119,-8.1140757,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff3319ec52631:0x8fd87dc5327bd3!8m2!3d42.381119!4d-8.111887
Dominio do Bibei;Ribeiro;https://www.google.es/maps/place/Dominio+do+Bibei/@42.310426,-7.2116437,17z/data=!3m1!4b1!4m5!3m4!1s0xd307e313ba4be41:0x3c4b1d3930e73365!8m2!3d42.310426!4d-7.209455
Eduardo Peña;Ribeiro;https://www.google.es/maps/place/Bodega+Eduardo+Pe%C3%B1a/@42.2934254,-8.0977331,15z/data=!3m1!4b1!4m5!3m4!1s0xd2ff5a796f2c159:0x625b818c34c3b562!8m2!3d42.2934257!4d-8.0889998
Eloi Lorenzo;Ribeiro;https://www.google.es/maps/place/Adega+Eloi+Lorenzo/@42.24396,-8.1383737,17z/data=!3m1!4b1!4m5!3m4!1s0xd25600af2daf3a1:0xa3b278716b1e3ae3!8m2!3d42.24396!4d-8.136185
Iria Otero Mazoy;Ribeiro;https://www.google.es/maps/place/Iria+Otero+%22Vinos+con+Memoria%22/@42.3691408,-8.1261453,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff3d4f2f655eb:0x500263d2e5e280cb!8m2!3d42.3691408!4d-8.1239566
Adegas Aurea Lux;Ribeiro;https://www.google.es/maps/place/Adegas+Aurea+Lux/@42.3283917,-8.1222304,15z/data=!3m1!4b1!4m5!3m4!1s0xd2ff4979155bfe1:0xd26cdeaf3df19064!8m2!3d42.328392!4d-8.1134971
Nairoa;Ribeiro;https://www.google.es/maps/place/Adegas+Nairoa/@42.249026,-8.1376927,17z/data=!3m1!4b1!4m5!3m4!1s0xd25601fab37caad:0xc44089fe0d35b27a!8m2!3d42.249026!4d-8.135504
O Alborexar no Ribeiro;Ribeiro;https://www.google.es/maps/place/O+Alborexar+no+Ribeiro/@42.29154,-8.1045287,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff50e0ffed6eb:0x4f0b0a34a9d56dfe!8m2!3d42.29154!4d-8.10234
Pazo Casanova;Ribeiro;https://www.google.es/maps/place/Pazo+Casanova/@42.3470527,-7.9799748,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff749ecdd27d5:0x1e2b31383e9a8367!8m2!3d42.3470527!4d-7.9777861
Pazo Lalón;Ribeiro;https://www.google.es/maps/place/Adega+Pazo+Lal%C3%B3n'Eduardo+Bravo/@42.3814497,-8.1084497,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff31dfc636183:0x4d29f0684367a206!8m2!3d42.3814497!4d-8.106261
Pazo Tizón;Ribeiro;https://www.google.es/maps/place/Pazo+Tiz%C3%B3n/@42.4144849,-8.133642,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff2ab91b2b611:0x6871292332192164!8m2!3d42.4144849!4d-8.1314533
Priorato de Razamonde;Ribeiro;https://www.google.es/maps/place/Priorato+de+Razamonde+S.L./@42.3290739,-8.0512062,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff41fa3c32f5d:0xa7d226cc7a51a975!8m2!3d42.3290739!4d-8.0490175
Adega Pousadoiro;Ribeiro;https://www.google.es/maps/place/Adega+Pousadoiro/@42.2941937,-8.1025933,15z/data=!3m1!4b1!4m5!3m4!1s0xd2ff5089a2ed78d:0xf4697184d200a729!8m2!3d42.294194!4d-8.09386
Ramón do Casar;Ribeiro;https://www.google.es/maps/place/Ram%C3%B3n+do+Casar/@42.3211892,-8.0568734,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff424627e1945:0x94bd59b32012a27c!8m2!3d42.3211892!4d-8.0546847
Señorío de Beade;Ribeiro;https://www.google.es/maps/place/Se%C3%B1or%C3%ADo+de+Beade+Bodega/@42.3251761,-8.127619,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff4b71bfd8111:0x27f694e1f740cfb4!8m2!3d42.3251761!4d-8.1254303
Adega cooperativa San Roque de Beade;Ribeiro;https://www.google.es/maps/place/Adega+Cooperativa+San+Roque+de+Beade/@42.3212951,-8.1246632,17z/data=!3m1!4b1!4m5!3m4!1s0xd2f8ad101385599:0xa8a397223319c02e!8m2!3d42.3212951!4d-8.1224745
Uceira;Ribeiro;https://www.google.es/maps/place/Bodegas+Uceira/@42.2983609,-8.0719855,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff5b7b7ba0423:0x24a7bf034ce483fc!8m2!3d42.2983609!4d-8.0697968
Bodegas Val de Souto;Ribeiro;https://www.google.es/maps/place/Bodegas+Val+de+Souto/@42.2962818,-8.0792136,15z/data=!3m1!4b1!4m5!3m4!1s0xd2ff5b8286a504d:0x5937011e0f9b36f0!8m2!3d42.2962821!4d-8.0704803
Adega Val do Deva;Ribeiro;https://www.google.es/maps/place/Adega+Val+Do+Deva/@42.188949,-8.1447281,15z/data=!4m8!1m2!2m1!1sval+do+deva!3m4!1s0xd255e1d310c247b:0xbe73a55c4b095acd!8m2!3d42.1944094!4d-8.1320065
Viña Costeira;Ribeiro;https://www.google.es/maps/place/Vi%C3%B1a+Costeira+Bodega/@42.305462,-8.1214467,17z/data=!3m1!4b1!4m5!3m4!1s0xd2ff4d91bf569ad:0x93ae21b20f16ee10!8m2!3d42.305462!4d-8.119258
Viña Mein;Ribeiro;https://www.google.es/maps/place/Bodegas+Vi%C3%B1a+Mein+S.L./@42.3616886,-8.1153106,17z/data=!3m1!4b1!4m8!3m7!1s0xd2ff33c1767440b:0x9776e46020d4f36c!5m2!4m1!1i2!8m2!3d42.3616886!4d-8.1131219
Adega Castro de Lobarzán;Monterrei;https://www.google.com/maps/place/Bodega+Castro+de+Lobarzan/@41.9315737,-7.4948018,15z/data=!4m5!3m4!1s0x0:0x85ed6dbee95295e5!8m2!3d41.9315737!4d-7.4948018
Adega Crego e Monaguillo;Monterrei;https://www.google.es/maps/place/Bodega+Crego+e+Monaguillo/@41.9308733,-7.5286469,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac6ca9a12844d:0xf347ebf7d3ffee60!8m2!3d41.9308693!4d-7.5264582?hl=es
Adegas Daniel Fernandez;Monterrei;https://www.google.es/maps/place/Adegas+Daniel+Fern%C3%A1ndez/@41.9118835,-7.4465705,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac33f03d6edcd:0xb1ca0732d518fa1d!8m2!3d41.9118795!4d-7.4443818?hl=es
Adega Fragas do Lecer;Monterrei;https://www.google.es/maps/place/Bodega+Boo+Rivero/@41.9328223,-7.4854356,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac172f74ebcef:0x501583a73bd02589!8m2!3d41.9328183!4d-7.4832469?hl=es
Adega Franco Basalo;Monterrei;https://www.google.es/maps/place/Bodegas+Franco+Basalo+-+Estela+do+Val/@41.9864102,-7.4172521,17z/data=!3m1!4b1!4m5!3m4!1s0xd3aeac7e25bf2c5:0x3254f783a2675bb9!8m2!3d41.9864062!4d-7.4150634?hl=es
Adega Gargalo;Monterrei;https://www.google.es/maps/place/Gargalo+SL/@41.9480719,-7.4589023,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac1dfae7774d7:0x21a6862b738fb65c!8m2!3d41.9480679!4d-7.4567136?hl=es
Adega Ladairo;Monterrei;https://www.google.es/maps/place/BODEGA+LADAIRO+S.L./@41.9048902,-7.4593493,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac23be94203bb:0xfb3c313daa113f5c!8m2!3d41.9048862!4d-7.4571606?hl=es
Adega Pazo das Tapias;Monterrei;https://www.google.es/maps/place/Adegas+Pazo+Das+Tapias/@41.9468826,-7.4755512,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac1ae6cbeb139:0xcbc955c1d980475d!8m2!3d41.9468786!4d-7.4733625?hl=es
Adega Pazo de Valdeconde;Monterrei;https://www.google.es/maps/place/Bodega+Pazo+de+Valdeconde/@41.8826009,-7.4333866,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ae9c597b223bf:0xc2b27fd5c6694723!8m2!3d41.8825969!4d-7.4311979?hl=es
Adega Quinta do Buble;Monterrei;https://www.google.es/maps/place/Adega+Quinta+do+Buble/@41.8748925,-7.5078353,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac39faaf1de25:0x31e50c3623c2fb20!8m2!3d41.8748885!4d-7.5056466?hl=es
Adega Quinta Soutullo;Monterrei;https://www.google.es/maps/place/Bodega+Quinta+Soutullo/@41.8948819,-7.4611556,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac24ff2177f59:0xfb672a0dc77d8040!8m2!3d41.8948779!4d-7.4589669?hl=es
Adega Tapias Mariñan;Monterrei;https://www.google.es/maps/place/Bodega+Tapias+Mari%C3%B1an/@41.9437383,-7.4695914,17z/data=!3m1!4b1!4m5!3m4!1s0xd3aea7411cd8ae3:0x7f007fdde1808944!8m2!3d41.9437343!4d-7.4674027?hl=es
Adega Trasovento;Monterrei;https://www.google.es/maps/place/Adega+Trasdovento/@41.878178,-7.5072857,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac3bb9f477e9b:0x34298b148d5869ff!8m2!3d41.878174!4d-7.505097?hl=es
Adega Triay;Monterrei;https://www.google.es/maps/place/Bodegas+Triay/@41.9042788,-7.4615004,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac217e6921523:0x49924f796efcbc41!8m2!3d41.9042748!4d-7.4593117?hl=es
Adega Vía Arxentea;Monterrei;https://www.google.es/maps/place/V%C3%ADa+Arxentea/@41.9358848,-7.4910026,17z/data=!3m1!4b1!4m5!3m4!1s0xd3ac11c4ef8e207:0xbd3e8f6b22fbe42d!8m2!3d41.9358808!4d-7.4888139?hl=es
Adega Vinos Lara;Monterrei;https://www.google.es/maps/place/Vinos+Lara/@41.924683,-7.4388587,17z/data=!3m1!4b1!4m5!3m4!1s0xd3aea0ad5e5c9a5:0x8e2dd1a2cb793964!8m2!3d41.924679!4d-7.43667?hl=es
